Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
champagne-crystal-halo-necklace,Champagne Crystal Halo Necklace,"<p>This elegant oval pendant necklace features a luminous champagne-colored center stone surrounded by a sparkling pavé crystal halo. The warm champagne hue adds sophisticated glamour, while the brilliant crystal frame creates beautiful dimension and light. The high-polish gold finish brings luxurious warmth to this timeless design.</p><p>Perfect for weddings, cocktail parties, or adding a touch of elegance to your everyday wardrobe. The champagne crystal offers a fresh take on classic pendant necklaces, making it versatile enough for both special occasions and daily wear. Pair with neutral tones to let the champagne stone shine or wear with metallics for coordinated glamour.</p><p>Designed with a delicate chain and secure lobster clasp closure. The lightweight construction ensures comfortable all-day wear, while the quality finish maintains its brilliance. The oval silhouette sits beautifully at the collarbone, while the halo setting adds vintage-inspired elegance that never goes out of style.</p><p>🎁 A sophisticated gift for the woman who loves classic elegance with refined, sparkling style.</p><h3>Features</h3><ul>
<li>Oval champagne crystal center stone</li>
<li>Pavé crystal halo frame</li>
<li>Delicate chain with secure lobster clasp</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for weddings, parties &amp; special occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"crystal jewelry, elegant, gold-tone, necklace, pendant necklace",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1599,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110366.png?v=1767610519,1,,FALSE,Champagne Crystal Halo Necklace - Elegant Gold Pendant,"Elegant oval pendant with champagne crystal center and pavé halo. Delicate gold chain, lightweight design. Perfect for weddings & special occasions.",196,,adult,,,,,,,,,,,adults,,gold,,metal; gold-plated,imitation-jewelry,pendant,,,female,,kg,,,active
multicolor-crystal-butterfly-necklace,Multicolor Crystal Butterfly Necklace,"<p>This stunning multicolor crystal butterfly pendant necklace features baguette-cut crystals forming delicate wings in a vibrant palette of purple, pink, clear, emerald green, and navy blue. Each wing is meticulously crafted with elongated crystals that radiate outward like nature's own design, while the body sparkles with pavé detailing. The high-polish gold finish adds luxurious warmth to this whimsical piece.</p><p>Perfect for spring celebrations, garden parties, or adding a pop of color to your everyday wardrobe. The butterfly symbolizes transformation and freedom, making this an ideal gift for celebrating new beginnings or personal milestones. The vibrant multicolor design pairs beautifully with both neutral and colorful outfits.</p><p>Designed with a delicate chain and secure lobster clasp closure. The lightweight construction ensures comfortable all-day wear, while the quality finish maintains its brilliance. The multicolor crystals catch light beautifully from every angle, creating a dazzling rainbow effect that brings joy and personality to your look.</p><p>🎁 A joyful gift for the woman who loves colorful, nature-inspired jewelry with playful elegance.</p><h3>Features</h3><ul>
<li>Multicolor baguette crystal butterfly pendant</li>
<li>Purple, pink, clear, emerald green &amp; navy blue crystals</li>
<li>Pavé crystal body detailing</li>
<li>Delicate chain with secure lobster clasp</li>
<li>High-polish gold-tone finish</li>
<li>Perfect for spring celebrations &amp; special occasions</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"butterfly necklace, colorful, crystal jewelry, gold-tone, necklace",TRUE,Title,Default Title,,,,,,,,,0,shopify,14,deny,manual,1799,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110380.png?v=1767610327,1,,FALSE,Multicolor Crystal Butterfly Necklace - Colorful Gold Pendant,"Stunning multicolor butterfly necklace with baguette crystals in purple, pink, green & blue. Delicate gold chain. Perfect for spring celebrations & gifts.",196,,adult,,,,,,,,,,,adults,,multicolor,,gold-plated,imitation-jewelry,pendant,,,female,,kg,,,active
multicolor-crystal-butterfly-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110381.png?v=1767610326,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teardrop-station-y-necklace,Teardrop Station Y-Necklace,"<p>This elegant Y-necklace features polished teardrop bead stations gracefully spaced along the chain, creating a sophisticated layered effect. The smooth, sculptural beads catch light beautifully, while the delicate drop pendant adds refined movement. The high-polish gold finish brings luxurious warmth to this modern minimalist design.</p><p>Perfect for everyday elegance or special occasions. The Y-style silhouette elongates the neckline beautifully, making it ideal for both casual and dressy looks. Pair with a V-neck top to showcase the full drop effect or wear with crew necks for understated sophistication.</p><p>Designed with a delicate chain and adjustable lobster clasp closure. The lightweight construction ensures comfortable all-day wear, while the quality finish maintains its shine. The teardrop stations add subtle dimension and movement, creating a refined look that's both contemporary and timeless.</p><p>🎁 A versatile gift for the woman who loves delicate, modern jewelry with elegant simplicity.</p><h3>Features</h3><ul>
<li>Y-necklace design with teardrop bead stations</li>
<li>Smooth polished teardrop pendant drop</li>
<li>Adjustable lobster clasp closure</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for layering or solo styling</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"elegant, gold-tone, minimalist, necklace, Y-necklace",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1499,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110482.png?v=1767610304,1,,FALSE,Teardrop Station Y-Necklace - Elegant Gold Lariat Necklace,"Elegant Y-necklace with polished teardrop bead stations and pendant drop. Delicate gold-tone chain, adjustable design. Perfect for everyday elegance.",196,,adult,,,,,,,,,,,adults,,gold,,metal; gold-plated,imitation-jewelry,y-shaped; pendant,,,female,,kg,,,active
teardrop-station-y-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110481.png?v=1767610304,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystal-elephant-pendant-necklace,Crystal Elephant Pendant Necklace,"<p>This adorable crystal elephant pendant necklace features intricate pavé detailing that covers the entire elephant silhouette with brilliant sparkle. A black crystal eye adds charming personality, while a tiny pearl accent sits beneath the trunk, symbolizing good fortune. The polished silver finish brings cool sophistication to this meaningful design.</p><p>Perfect for everyday wear or gifting to someone special. The elephant symbolizes wisdom, strength, and good luck, making this an ideal piece for celebrating new beginnings or personal milestones. Pair with casual outfits for whimsical charm or wear with dressy looks for elegant sophistication.</p><p>Designed with a delicate chain and secure lobster clasp closure. The lightweight construction ensures comfortable all-day wear, while the quality finish maintains its brilliance. The crystal-covered elephant pendant adds beautiful movement and sparkle, creating a refined look that's both playful and meaningful.</p><p>🎁 A meaningful gift for the woman who loves animal-inspired jewelry with symbolic charm and sparkle.</p><h3>Features</h3><ul>
<li>Crystal-embellished elephant pendant</li>
<li>Black crystal eye and pearl accent</li>
<li>Delicate chain</li>
<li>Secure lobster clasp closure</li>
<li>Polished silver-tone finish</li>
<li>Perfect for everyday wear &amp; meaningful gifting</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"animal jewelry, crystal jewelry, elephant jewelry, necklace, silver-tone",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1499,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110486.png?v=1767610277,1,,FALSE,Crystal Elephant Pendant Necklace - Lucky Silver Charm Necklace,"Adorable crystal elephant pendant necklace with pavé detailing, black crystal eye and pearl accent. Silver-tone finish. Perfect for luck & gifting.",196,,adult,,,,,,,,,,,adults,,animal,,metal; silver-plated; glass,imitation-jewelry,pendant,,,female,,kg,,,active
crystal-elephant-pendant-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110485.png?v=1767610277,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystal-turtle-pendant-necklace,Crystal Turtle Pendant Necklace,"<p>This adorable crystal turtle pendant necklace features a pavé-embellished hexagonal shell with sparkling crystals arranged in a honeycomb pattern. The tiny sculpted legs and head add charming detail to this nature-inspired design. The delicate chain link adds elegant simplicity, while the high-polish gold finish brings luxurious warmth to this whimsical piece.</p><p>Perfect for everyday wear or adding a touch of playful charm to special occasions. The turtle symbolizes wisdom, longevity, and good fortune, making this an ideal gift for celebrating milestones or expressing good wishes. Pair with casual outfits for understated charm or wear with dressy looks for a conversation-starting accent.</p><p>Designed with a fine chain and secure lobster clasp closure. The lightweight construction ensures comfortable all-day wear, while the quality finish maintains its brilliance. The crystal-covered shell catches light beautifully, while the sculptural turtle design adds personality and meaning to your jewelry collection.</p><p>🎁 A meaningful gift for the woman who loves nature-inspired jewelry with symbolic charm and sparkle.</p><h3>Features</h3><ul>
<li>Turtle pendant with pavé crystal hexagonal shell</li>
<li>Honeycomb pattern crystal detailing</li>
<li>Sculpted head and legs for realistic charm</li>
<li>Fine chain with secure lobster clasp</li>
<li>High-polish gold-tone finish</li>
<li>Perfect for everyday wear &amp; meaningful gifting</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"crystal jewelry, gold-tone, necklace, pendant necklace, turtle charm",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1499,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110488.png?v=1767610211,1,,FALSE,Crystal Turtle Pendant Necklace - Gold Charm Necklace,"Adorable crystal turtle pendant with pavé hexagonal shell. Fine gold-tone chain, lightweight design. Symbolizes wisdom & longevity. Perfect gift. Shop now.",196,,adult,,,,,,,,,,,adults,,geometric,,gold-plated,imitation-jewelry,pendant,,,female,,kg,,,active
crystal-turtle-pendant-necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110489.png?v=1767610211,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crystal-heart-padlock-necklace,Crystal Heart Padlock Necklace,"<p>This charming heart padlock pendant necklace features sparkling pavé crystal detailing that covers the entire heart surface. The delicate padlock design symbolizes love and security, while the brilliant crystals add romantic sparkle. The fine chain adds elegant simplicity, while the high-polish gold finish brings luxurious warmth to this meaningful piece.</p><p>Perfect for everyday wear or layering with other necklaces. The heart padlock symbol makes this an ideal gift for expressing love and commitment to someone special. Pair with casual outfits for understated charm or wear with dressy looks for romantic elegance.</p><p>Designed with a delicate chain and secure lobster clasp closure. The lightweight construction ensures comfortable all-day wear, while the quality finish maintains its shine. The crystal-covered heart pendant adds just the right amount of sparkle, creating a refined look that's both sweet and sophisticated.</p><p>🎁 A meaningful gift for the woman who loves delicate, romantic jewelry with symbolic charm.</p><h3>Features</h3><ul>
<li>Heart padlock pendant with pavé crystal detailing</li>
<li>Delicate fine chain</li>
<li>Secure lobster clasp closure</li>
<li>High-polish gold-tone finish</li>
<li>Lightweight &amp; comfortable for all-day wear</li>
<li>Perfect for layering or solo styling</li>
</ul>",Sviwa Creation,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"crystal jewelry, gold-tone, heart necklace, necklace, romantic",TRUE,Title,Default Title,,,,,,,,,0,shopify,10,deny,manual,1299,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0716/4195/6543/files/1000110491.png?v=1767610108,1,,FALSE,Crystal Heart Padlock Necklace - Delicate Gold Heart Necklace,"Charming heart padlock necklace with pavé crystal detailing. Fine gold-tone chain, lightweight design. Perfect for everyday wear & meaningful gifting.",196,,adult,,,,,,,,,,,adults,,gold,,gold-plated,imitation-jewelry,pendant; chain,,,female,,kg,,,active
